atm_id;atm_lat;atm_lon;nearest_malls_name;nearest_malls_dist_m;count_malls_100m;count_malls_300m;count_malls_500m;nearest_supermarkets_name;nearest_supermarkets_dist_m;count_supermarkets_100m;count_supermarkets_300m;count_supermarkets_500m;nearest_pharmacies_hospitals_name;nearest_pharmacies_hospitals_dist_m;count_pharmacies_hospitals_100m;count_pharmacies_hospitals_300m;count_pharmacies_hospitals_500m;count_banks_atms_100m;count_banks_atms_300m;count_banks_atms_500m;competitor_count_total
61.0;61.069724;42.112428;ЦУМ;170.5;0;5;6;Центральный;144.4;0;5;9;ветеринарная аптека Пчёлка;86.6;1;4;10;0;8;14;15.0
62.0;52.038854;39.736662;Нет объектов;;0;0;0;Пятёрочка;406.7;0;0;1;Алоэ;648.1;0;0;0;0;0;0;1.0
63.0;51.415423;85.998004;Нет объектов;;0;0;0;Сарлык;33.2;3;4;5;Чемальская районная больница;452.8;0;0;1;3;3;3;3.0
64.0;62.045845;129.740982;Лермонтовский;296.1;0;1;3;Не удалось узнать название;114.5;0;2;2;Еаптека;143.4;0;2;4;1;4;4;4.0
65.0;51.716977;94.439535;Не удалось узнать название;55.9;1;4;5;Не удалось узнать название;381.0;0;0;1;Аптека Идегел;127.8;0;1;3;1;3;6;11.0
66.0;54.66891;20.510281;ТЦ «Аллея»;663.5;0;0;0;Вестер;8.1;1;4;5;Формула здоровья;155.5;0;1;2;0;5;6;12.0
67.0;52.749153;32.237616;Московский;275.8;0;1;2;Дикси;34.1;1;1;4;ГБУЗ КГССМП (скорая помощь);215.9;0;1;4;0;4;6;6.0
68.0;47.894757;40.057037;Нет объектов;;0;0;0;Магнит;5.7;1;5;8;Аптека;150.9;0;2;4;1;3;4;4.0
69.0;46.171941;45.352265;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;1.0
70.0;55.757085;37.661356;Атриум;142.6;0;1;1;Зелёный Перекрёсток;127.3;0;3;6;36,6;149.4;0;6;17;8;24;36;41.0
71.0;56.467394;53.806992;ТЦ Пролетарский;228.1;0;1;3;Магнит;22.5;2;2;3;Магнит Аптека;35.8;1;3;5;6;6;6;16.0
72.0;56.022353;39.979908;Микс;65.1;1;1;1;Светофор;58.8;1;1;3;Столички;216.0;0;1;3;2;2;2;2.0
73.0;51.649913;94.268559;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Не удалось узнать название;466.7;0;0;1;0;0;0;0.0
74.0;48.483783;135.09468;Макси Молл;68.1;1;3;4;Самбери;36.8;2;5;7;Юнилаб;111.3;0;3;3;0;1;1;1.0
75.0;45.377907;38.438668;Нет объектов;;0;0;0;Мясной мир;295.0;0;1;1;Старонижестеблиевская участковая больница;190.9;0;1;3;0;1;2;2.0
76.0;59.201062;39.829386;ТЦ «Макси»;4.0;1;2;3;Макси;19.6;1;2;6;Антей;15.2;1;4;6;0;1;5;6.0
77.0;52.534543;31.94119;Мельница;34.6;1;2;3;Светофор;7.8;2;3;8;Семейная;23.5;1;3;6;0;1;3;9.0
78.0;60.759108;46.306895;Престиж;2.7;5;7;9;Магнит;26.1;3;3;3;Антей;19.3;3;3;7;1;3;4;8.0
79.0;52.752849;32.247381;Гранд Парк;3.3;1;1;1;Магнит Экстра;16.0;1;1;5;Не удалось узнать название;383.6;0;0;7;0;0;1;2.0
80.0;52.580396;33.766477;"Торговый центр ""Магнит""";277.8;0;1;1;Магнит;120.7;0;3;6;Аптека;73.3;1;3;3;0;3;3;3.0
81.0;56.297253;38.127043;Не удалось узнать название;288.6;0;1;2;Не удалось узнать название;49.0;3;7;9;Здавсити;59.6;1;5;7;1;6;7;12.0
82.0;55.797508;37.93589;"Торговый центр ""Радуга""";233.5;0;1;2;Ароматный мир;80.6;1;5;10;Эконом;54.8;1;10;15;2;11;22;30.0
83.0;57.304121;47.886439;Нет объектов;;0;0;0;Красное&Белое;60.3;1;2;3;Аптека;371.1;0;0;1;0;0;2;2.0
84.0;50.375026;103.285471;Вектор;283.2;0;1;2;Абсолют;2.2;1;1;2;Не удалось узнать название;317.6;0;0;5;0;0;5;6.0
85.0;54.96529;72.63966;Магнит;860.4;0;0;0;Магнит;389.6;0;0;1;Фармакопейка;390.4;0;0;1;0;0;0;1.0
86.0;55.933327;39.454915;"Торговый дом ""ДинДим""";250.4;0;1;2;Дикси;11.6;1;3;8;Не удалось узнать название;131.6;0;4;6;1;3;5;4.0
87.0;59.189651;39.901512;ТЦ «Макси»;1.4;1;1;1;Макси;8.1;1;1;7;Антей;37.9;1;4;11;1;2;2;2.0
88.0;59.123042;37.907854;Интерсити;52.3;1;2;3;Десяточка;55.7;2;4;5;Алоэ;58.6;2;2;6;2;5;5;11.0
89.0;54.727089;37.181081;Нет объектов;;0;0;0;Магнит;12.0;3;4;8;Не удалось узнать название;102.0;0;2;5;1;4;4;4.0
90.0;50.280435;127.510366;Острова;61.6;1;1;1;Не удалось узнать название;354.3;0;0;2;ГБУЗ АО центр реабилитации Надежда;433.2;0;0;1;1;2;3;3.0
91.0;45.080523;38.46436;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Не удалось узнать название;107.6;0;1;2;0;0;0;0.0
92.0;57.594367;39.86769;Автограф;415.2;0;0;1;Магнит;31.8;2;4;8;Юкон;105.0;0;2;4;2;6;13;13.0
93.0;52.675579;41.465335;МЖК;2.2;1;1;1;Пятёрочка;10.3;3;7;8;Не удалось узнать название;16.8;4;6;7;1;3;3;3.0
94.0;59.196412;39.870646;ТЦ «Макси»;1.8;1;1;1;Макси;8.4;1;3;6;Антей;114.2;0;3;4;1;1;3;9.0
95.0;53.275827;34.395549;Космос;174.7;0;1;1;Пятёрочка;40.4;1;5;5;Аптека;30.1;1;2;4;0;1;2;2.0
96.0;54.980916;73.321536;Метромолл;129.6;0;2;4;Пятёрочка;31.8;1;5;14;Фармакопейка;66.3;1;3;11;10;17;26;28.0
97.0;44.764507;39.868867;Не удалось узнать название;180.7;0;1;2;Магнит;113.1;0;4;5;Аптека №40 Кубаньфармация;118.0;0;6;9;1;7;7;8.0
98.0;59.221569;39.912525;ТЦ «Макси»;17.0;1;1;1;Макси;18.7;2;4;6;Антей;70.8;1;2;3;0;0;2;3.0
99.0;59.21163;39.880357;ТЦ «Оазис»;8.2;2;4;4;Макси;12.4;1;3;5;Антей;100.7;0;1;4;4;6;9;13.0
100.0;53.214663;34.421528;Гипермаркет Европа 46;143.6;0;4;4;Светофор;267.1;0;2;3;Мэтр;268.2;0;2;7;0;2;3;3.0
101.0;48.496609;135.072824;Ерофей;127.7;0;1;1;Винлаб;185.9;0;2;5;Не удалось узнать название;113.9;0;2;3;0;1;1;1.0
102.0;48.792911;132.934537;Натали;360.0;0;0;4;Евростиль;398.8;0;0;2;Шестая аптека;326.7;0;0;2;1;4;10;10.0
103.0;59.202905;39.812741;Рио;20.4;1;1;1;Ашан;11.1;1;1;2;Антей;314.5;0;0;3;0;0;0;2.0
104.0;54.308204;48.392038;Пассаж;834.8;0;0;0;Магнит;24.7;2;4;8;Аллегрис;259.3;0;1;9;1;9;17;26.0
105.0;56.013356;90.416323;Нет объектов;;0;0;0;Супермаркет 29;11.4;1;1;2;Не удалось узнать название;27.2;1;1;3;0;2;4;8.0
106.0;54.940753;73.386565;ТК «Октябрь»;261.8;0;1;2;Ярче!;119.0;0;2;7;Апрельл;144.3;0;11;32;1;6;16;18.0
107.0;55.377572;91.611136;Не удалось узнать название;348.9;0;0;1;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;1.0
108.0;51.721106;94.405444;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
109.0;51.707775;94.425665;Не удалось узнать название;355.6;0;0;2;Нет объектов;;0;0;0;Аптека Идегел;52.0;2;7;12;0;0;0;0.0
110.0;56.006859;90.402318;Нет объектов;;0;0;0;BANK BEER;478.7;0;0;1;Мед. Осмотр;255.5;0;1;2;0;0;2;4.0
111.0;56.092245;47.28843;Фиалка;59.2;1;2;2;Бристоль;102.6;0;4;5;Максавит;24.8;1;5;6;0;0;0;7.0
112.0;50.364162;127.998906;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;1;1;2;2.0
113.0;53.192166;158.384079;Вито;490.9;0;0;1;Сортовое Пиво;39.9;1;3;5;Не удалось узнать название;378.3;0;0;4;0;1;2;4.0
114.0;54.860031;21.107364;Не удалось узнать название;123.6;0;1;1;Пивной двор;54.7;2;2;2;Не удалось узнать название;64.4;1;1;2;1;1;4;4.0
115.0;51.282912;91.56657;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
116.0;51.715186;94.436185;Не удалось узнать название;296.9;0;1;4;Серебряный шар;654.1;0;0;0;Аптека Идегел;353.9;0;0;2;0;1;4;9.0
117.0;58.312131;82.894729;Универмаг;402.6;0;0;1;Не удалось узнать название;611.6;0;0;0;Колпашевская ЦРБ;62.6;1;2;3;0;0;0;4.0
118.0;56.011872;92.864367;Воскресенский;71.6;1;2;4;Пятёрочка;134.2;0;5;10;Губернские Аптеки;45.8;1;4;10;0;4;10;21.0
119.0;50.296568;127.512836;Нет объектов;;0;0;0;Винлаб;156.4;0;1;7;Социальная аптека;54.9;1;1;4;0;3;4;5.0
120.0;51.096575;128.379827;Нет объектов;;0;0;0;Шашлычка;903.9;0;0;0;Амурфармация;185.8;0;3;4;1;2;2;3.0
121.0;51.69406;94.559371;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Не удалось узнать название;442.6;0;0;1;0;0;0;0.0
122.0;55.789051;49.124874;Призма;76.5;1;3;6;Чижик;71.5;4;8;13;Разумед;125.9;0;5;14;4;20;34;49.0
123.0;57.650401;53.805663;Нет объектов;;0;0;0;Пятёрочка;36.3;0;0;0;Академия здоровья;110.1;0;1;1;0;2;4;4.0
124.0;52.028366;113.495057;Grand City;314.3;0;0;1;Арбат;435.2;0;0;2;Не удалось узнать название;316.1;0;0;10;3;3;12;23.0
125.0;51.720364;94.453666;Не удалось узнать название;574.2;0;0;0;Гамма;14.1;1;1;1;Аптека Идегел;684.4;0;0;0;0;0;0;5.0
126.0;51.716229;94.440694;"ТЦ ""Гаруда""";5.1;1;4;5;Не удалось узнать название;367.6;0;0;1;Аптека Идегел;22.4;1;1;2;0;2;5;9.0
127.0;51.718071;94.444395;Не удалось узнать название;171.8;0;0;0;Не удалось узнать название;59.6;1;1;2;Нет объектов;;0;0;0;0;3;8;7.0
128.0;51.400086;91.277169;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
129.0;50.916154;128.499869;ТЦ Премьер;474.4;0;0;1;Fresh Market;14.6;1;1;1;Семейная аптека;118.4;0;1;3;0;0;0;1.0
130.0;50.919277;128.480052;Ярмарка;780.9;0;0;0;Не удалось узнать название;35.3;1;2;5;ФармОптик;76.0;1;7;9;2;7;9;11.0
131.0;53.737745;41.006197;Нет объектов;;0;0;0;Не удалось узнать название;136.3;0;3;3;Не удалось узнать название;432.4;0;0;1;1;2;2;2.0
132.0;55.137945;54.652047;Нет объектов;;0;0;0;Пятёрочка;230.0;0;1;1;Фармленд;198.2;0;1;1;1;1;1;1.0
133.0;55.48955;54.855237;Нет объектов;;0;0;0;Чижик;247.6;0;2;5;Вита Экспресс;178.7;0;2;3;0;6;6;9.0
134.0;51.718958;94.433804;Не удалось узнать название;396.6;0;0;1;Серебряный шар;236.9;0;1;1;Не удалось узнать название;16.3;1;3;3;1;5;7;11.0
135.0;51.720386;94.442464;Не удалось узнать название;229.9;0;3;5;Не удалось узнать название;212.7;0;2;2;Не удалось узнать название;116.3;0;3;4;0;6;8;9.0
136.0;51.701362;94.411751;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нефрологический центр;555.5;0;0;0;0;0;0;0.0
137.0;54.306927;48.360183;Аквамолл;8.1;1;1;1;Ашан;126.9;0;1;1;Ригла;88.8;1;2;2;3;6;6;14.0
138.0;51.804641;107.634619;ТРЦ Два Кита;437.2;0;0;1;Титан;552.7;0;0;0;Военный госпиталь;172.1;0;1;1;0;0;0;1.0
139.0;52.005885;106.864134;Не удалось узнать название;388.8;0;0;2;Титан;568.7;0;0;0;Дневной стационар;204.6;0;2;3;0;1;1;1.0
140.0;55.03573;82.896184;"ТЦ ""Апельсин""";247.1;0;1;1;Лента;253.7;0;1;4;Не удалось узнать название;136.1;0;2;10;1;5;16;21.0
141.0;53.43592;36.003812;Нет объектов;;0;0;0;Пятёрочка;136.6;0;1;1;Аптечный пункт;522.7;0;0;0;2;3;3;3.0
142.0;59.213441;39.851134;ТЦ «Луч»;210.7;0;2;2;Пятёрочка;205.9;0;7;10;Антей;108.7;0;7;9;2;12;13;13.0
143.0;51.720325;94.433229;Не удалось узнать название;516.4;0;0;0;Серебряный шар;166.4;0;1;1;Здравушка;51.0;1;3;4;2;4;6;11.0
144.0;59.220266;39.884893;ЦУМ;8.4;1;1;3;Прага;73.4;1;3;7;Не удалось узнать название;20.3;1;8;11;4;8;14;22.0
145.0;59.19726;39.859246;ТРЦ «Мармелад»;13.3;1;1;1;Макси;10.7;1;5;7;Ригла;33.2;1;4;7;6;7;8;9.0
146.0;48.465147;135.120704;Нет объектов;;0;0;0;"ТРЦ ""Юбилейный""";1.5;1;1;1;ТвояАптека.рф;41.1;1;1;1;0;0;0;2.0
147.0;55.792696;37.612551;Нет объектов;;0;0;0;Гастроном;203.9;0;5;12;36,6;50.3;1;6;20;0;4;11;17.0
148.0;54.985044;82.891288;Версаль;133.0;0;2;2;Лента;184.5;0;1;2;Ваше здоровье;130.9;0;4;10;5;10;16;21.0
149.0;52.14554;38.285218;Статус;470.1;0;0;1;Пятёрочка;5.0;4;5;5;"Аптека ""Ника""";420.2;0;0;2;0;2;3;3.0
150.0;55.158375;61.396553;ТРК «Урал»;148.0;0;1;2;Мавт-Винотека;14.9;1;3;6;Живика;42.6;1;2;10;2;17;22;35.0
151.0;55.766405;49.221416;Эдельвейс;10.2;2;2;3;Магнит;17.8;3;7;12;Клиника восстановительной медицины;55.6;2;13;18;1;4;12;16.0
152.0;55.754152;52.016479;Роща;222.1;0;1;2;Пятёрочка;103.2;0;4;9;Вита Экспресс;26.2;1;3;13;1;9;13;15.0
153.0;55.257576;61.396059;ТК «Каменный»;787.3;0;0;0;Магнит;232.6;0;1;8;Фармленд;277.8;0;2;5;0;1;4;6.0
154.0;55.790251;49.108615;Не удалось узнать название;488.9;0;0;1;Порт маркет;71.0;2;4;12;Наша аптека;119.3;0;4;13;3;20;29;55.0
155.0;55.77198;52.014638;Мираж;29.4;1;1;1;Не удалось узнать название;353.0;0;0;2;Детская поликлиника;494.5;0;0;1;1;1;2;4.0
156.0;56.233304;43.948548;Гагаринский;267.1;0;2;5;Бристоль;8.7;1;4;8;Столички;7.3;3;8;13;5;7;9;13.0
157.0;56.641624;47.894389;21 Век;376.9;0;0;2;Магнит;118.1;0;2;10;Наша аптека;160.0;0;8;18;3;5;12;19.0
158.0;58.007284;56.260804;Семья 1;63.4;3;3;3;Норман;93.7;1;5;9;Планета здоровья;25.8;3;9;16;1;1;9;15.0
159.0;58.015208;56.281519;ТЦ Метелица;234.9;0;1;1;Семья;25.4;1;6;6;Планета здоровья;54.2;1;5;10;0;3;6;9.0
160.0;58.109709;56.305872;Не удалось узнать название;140.2;0;2;2;Семья;13.8;3;5;10;Планета Здоровья;30.2;1;3;10;1;2;6;7.0
161.0;58.008843;55.962213;Закамский;696.0;0;0;0;Пятёрочка;6.2;1;4;6;Хоспис;483.2;0;0;2;0;1;1;1.0
162.0;57.993415;56.24705;Домино;1.6;1;1;1;Семья;19.3;1;2;10;Поликлиника Трест-14;127.3;0;1;6;0;3;8;11.0
163.0;57.98519;56.216382;Аврора;179.3;0;1;2;Семья;81.3;1;5;10;Не удалось узнать название;74.9;1;2;2;4;6;6;8.0
164.0;58.008438;56.228213;Айсберг;0.6;1;5;7;Лион ;56.0;1;2;5;Доктор Foot;202.3;0;4;9;2;5;13;24.0
165.0;56.816341;60.585922;ФанФан;12.1;1;1;1;Магнит семейный;21.3;1;3;4;Фармленд;27.2;2;4;7;2;2;5;5.0
166.0;56.799818;60.575457;Параход;382.5;0;0;2;Верный;253.8;0;1;9;Вита Экспресс;217.1;0;3;7;0;0;3;11.0
167.0;55.17793;61.348008;ТК «Фрегат»;23.5;1;1;1;Перекресток;28.4;1;5;12;Фармленд;66.7;1;5;11;4;6;7;10.0
168.0;53.380412;58.979779;Гостиный двор;218.1;0;1;3;Не удалось узнать название;4.3;2;6;11;Фармленд;58.6;3;5;11;3;17;21;22.0
169.0;56.829492;60.560572;Нет объектов;;0;0;0;Минимарт;5.8;2;5;10;Дешевая аптека;42.8;2;6;17;3;8;14;18.0
170.0;56.815651;60.611812;Мир ткани;720.1;0;0;0;Магнит;17.5;2;6;12;Аптека Эконом;90.0;1;5;12;1;4;6;16.0
171.0;56.823636;60.505406;ТЦ «Мега»;16.0;1;1;1;Ашан;129.4;0;1;2;36,6;146.8;0;1;1;1;6;6;5.0
172.0;56.823636;60.505406;ТЦ «Мега»;16.0;1;1;1;Ашан;129.4;0;1;2;36,6;146.8;0;1;1;1;6;6;5.0
173.0;58.008018;56.250383;Не удалось узнать название;95.2;1;1;2;Красное&Белое;178.6;0;5;10;Альфа-Центр Здоровья;21.3;1;2;12;0;0;9;19.0
174.0;53.359872;58.960466;Сельсовет;650.0;0;0;0;Магнит Семейный;24.2;1;2;6;Фармленд;13.9;1;4;7;0;0;3;11.0
175.0;56.841246;60.605326;ТЦ «SilaVoli»;286.0;0;1;1;Елисей;705.2;0;0;0;Фармленд;363.0;0;0;6;1;5;18;42.0
176.0;53.418337;58.984918;Нет объектов;;0;0;0;Красное & Белое;76.7;2;2;5;Фармленд;101.9;0;3;5;2;4;17;21.0
177.0;56.833703;60.599693;Мытный двор;158.0;0;3;6;Красное&Белое;148.0;0;1;8;Еаптека;75.2;2;5;11;2;11;25;47.0
178.0;56.833703;60.599693;Мытный двор;158.0;0;3;6;Красное&Белое;148.0;0;1;8;Еаптека;75.2;2;5;11;2;11;25;47.0
179.0;58.014622;56.238489;ЦУМ;334.1;0;0;1;Красное&Белое;178.7;0;4;6;Клиника Доктор Ост;135.5;0;5;12;3;11;19;30.0
180.0;58.014622;56.238489;ЦУМ;334.1;0;0;1;Красное&Белое;178.7;0;4;6;Клиника Доктор Ост;135.5;0;5;12;3;11;19;30.0
181.0;55.160113;61.40568;Никитинский;202.8;0;1;1;Монетка;97.8;1;4;9;Планета здоровья;11.6;3;8;19;1;7;20;40.0
