id,atm_group,address_raw,address_geocoded,geo_lon,geo_lat,country,region,municipality,city,street,house,population_density_per_km2,target,is_24_7,contactless_tech,qr_codes,usd_available,eur_available,cash_in,cash_out,cashless_pay,account_statement,access_for_disabled,transfer_p2p,transfer_a2a,loan_payments,nearest_malls_dist_m,count_malls_300m,nearest_supermarkets_dist_m,count_supermarkets_300m,nearest_pharmacies_hospitals_dist_m,count_pharmacies_hospitals_300m,count_banks_atms_300m,nearest_cafes_dist_m,count_cafes_300m,nearest_restaurants_dist_m,count_restaurants_300m,nearest_public_transport_dist_m,count_public_transport_300m,nearest_parking_dist_m,count_parking_300m,nearest_education_dist_m,count_education_300m,nearest_subway_dist_m,nearest_post_offices_dist_m,count_post_offices_300m,has_subway_nearby,nearest_offices_dist_m,count_offices_100m,count_offices_300m,count_offices_500m,count_offices_1000m,count_payment_terminals_100m,count_payment_terminals_300m,count_payment_terminals_500m,count_payment_terminals_1000m,nearest_payment_terminals_dist_m,count_money_transfer_100m,count_money_transfer_300m,count_money_transfer_500m,count_money_transfer_1000m,nearest_money_transfer_dist_m,nearest_shops_food_small_dist_m,count_shops_food_small_100m,count_shops_food_small_300m,count_shops_food_small_500m,count_shops_food_small_1000m,count_hypermarkets_100m,count_hypermarkets_300m,count_hypermarkets_500m,count_hypermarkets_1000m,nearest_hypermarkets_dist_m,count_markets_100m,count_markets_300m,count_markets_500m,count_markets_1000m,nearest_markets_dist_m,nearest_fitness_sport_dist_m,count_fitness_sport_100m,count_fitness_sport_300m,count_fitness_sport_500m,count_fitness_sport_1000m,nearest_hotels_hostels_dist_m,count_hotels_hostels_100m,count_hotels_hostels_300m,count_hotels_hostels_500m,count_hotels_hostels_1000m,count_railway_stations_100m,count_railway_stations_300m,count_railway_stations_500m,count_railway_stations_1000m,nearest_railway_stations_dist_m,count_residential_buildings_100m,count_residential_buildings_300m,count_residential_buildings_500m,count_residential_buildings_1000m,nearest_residential_buildings_dist_m,count_residential_landuse_100m,count_residential_landuse_300m,count_residential_landuse_500m,count_residential_landuse_1000m,nearest_residential_landuse_dist_m,nearest_fuel_dist_m,count_fuel_100m,count_fuel_300m,count_fuel_500m,count_fuel_1000m,count_highway_pedestrian_100m,count_highway_pedestrian_300m,count_highway_pedestrian_500m,count_highway_pedestrian_1000m,nearest_highway_pedestrian_dist_m,nearest_footway_100m_dist_m,count_footway_100m_100m,count_landuse_mix_100m,count_landuse_mix_300m,count_landuse_mix_500m,count_landuse_mix_1000m,nearest_landuse_mix_dist_m,land_use_type,land_use_dist_m,city_center_dist_m,is_city_center,population,city_type,city_size_category,federal_district,macro_region,grp_per_capita_2023_rub,avg_salary_oct_2025_rub,avg_income_q3_2025_rub,is_federal_city,is_federal_district_capital
18.0,496.5,VERKHNAYA DUBROVA 26ZH    VLADIMIR    ,"Россия, Владимир, улица Верхняя Дуброва, 26Ж",40.344067,56.108954,Россия,Владимирская область,городской округ Владимир,Владимир,улица Верхняя Дуброва,26Ж,45.73,-0.0904744912209494,False,False,False,False,False,True,True,False,True,True,True,False,False,379.5,0,16.1,6,13.1,9,8,28.1,3,174.8,1,166.9,4,28.6,22,235.0,2,0.0,272.5,1,False,22.5,3,8,17,38,0,3,4,4,183.9,0,0,0,0,,186.6,0,1,7,31,0,0,0,0,,0,0,1,2,451.0,477.5,0,0,1,4,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,540.9,0,0,0,2,0,0,0,0,,30.0,31,0,0,0,0,,commercial,179.4,4528.2,0,341590.0,regional_capital,medium,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
21.0,496.5,SOVETSKAYA 126            EGORIEVSK   ,"Россия, Московская область, Егорьевск, Советская улица, 126",39.039273,55.380109,Россия,Московская область,муниципальный округ Егорьевск,Егорьевск,Советская улица,126,177.78,0.1371247956345581,True,True,True,False,False,True,True,True,True,True,True,False,False,103.2,1,32.5,3,90.8,3,10,14.0,2,20.6,3,48.6,4,144.0,11,,0,,,0,False,88.4,2,17,32,43,3,3,5,5,73.5,0,0,0,0,,81.4,2,4,10,21,0,0,0,0,,0,0,0,1,552.4,498.0,0,0,1,6,6.4,1,1,2,2,0,0,0,1,748.2,1,1,1,4,89.4,1,6,17,85,80.0,718.3,0,0,0,1,0,0,0,0,,41.8,9,1,6,20,103,80.0,commercial,88.4,22261.2,0,,,,ЦФО,central,800000.0,119731.5,85000.0,False,False
23.0,496.5,SOVETSKAYA 7              TOSNO       ,"Россия, Ленинградская область, Тосно, Советская улица, 7",30.880531,59.542338,Россия,Ленинградская область,Тосненское городское поселение,Тосно,Советская улица,7,23.34,-0.0372481385473647,False,False,False,False,False,False,False,False,False,False,False,False,False,142.0,3,123.6,4,29.8,5,5,78.1,2,76.5,4,197.6,11,89.8,8,0.0,0,256.1,193.9,7,True,79.6,1,5,7,13,0,1,1,1,103.9,0,0,0,0,,,0,0,0,0,0,0,0,0,,1,1,1,1,92.1,608.5,0,0,0,1,710.6,0,0,0,1,0,1,1,1,256.1,0,0,0,1,710.6,0,2,7,34,247.9,,0,0,0,0,0,0,0,0,,17.4,9,1,3,8,37,92.1,commercial,92.1,27974.5,0,,,,СЗФО,north,720000.0,94038.6,118966.66666666669,False,False
24.0,496.5,PIONERSKAYA 10A           KHABAROVSK  ,"Россия, Хабаровск, Пионерская улица, 10А",135.089677,48.458832,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,Пионерская улица,10А,1.6,0.0093968232600801,True,False,False,False,False,True,True,False,True,True,True,False,False,691.3,0,1.5,1,93.3,3,1,442.2,0,311.0,0,43.2,6,132.6,3,0.0,0,0.0,295.9,1,False,321.1,0,0,2,9,0,0,0,0,,0,0,0,0,,124.4,0,1,3,4,0,0,0,0,,0,0,0,0,,398.7,0,0,2,3,575.9,0,0,0,2,0,0,0,0,,0,1,1,2,226.3,0,0,0,0,,551.5,0,0,0,3,0,0,0,0,,23.9,4,0,0,0,0,,residential,213.4,2329.1,0,610305.0,regional_capital,large,ДФО,far_east,490000.0,148263.98333333334,135440.0,False,True
25.0,496.5,KIROVA 44                 UZHUR       ,"Россия, Красноярский край, Ужур, улица Кирова, 44",89.839928,55.319064,Россия,Красноярский край,Ужурский муниципальный округ,Ужур,улица Кирова,44,1.18,-0.1059464807142526,False,False,False,False,False,True,True,False,True,True,True,False,False,,0,,0,192.9,1,1,41.8,2,,0,,0,282.6,1,,0,,,0,False,54.0,4,5,6,9,0,0,0,0,,0,0,0,0,,650.7,0,0,0,1,0,0,0,0,,0,0,0,0,,441.1,0,0,1,2,672.0,0,0,0,1,0,0,0,0,,0,0,0,0,,0,1,2,2,169.2,,0,0,0,0,0,0,0,0,,,0,1,2,3,8,94.6,commercial,94.6,,0,,,,СФО,siberia,1200000.0,104869.1,38000.0,False,False
26.0,496.5,"ARBAT,1                   MOSCOW      ","Россия, Москва, улица Арбат, 1",37.599292,55.751817,Россия,Москва,Дмитровский муниципальный округ,Москва,улица Арбат,1,5116.75,-0.1450012314747548,True,True,True,False,False,True,True,True,True,True,True,False,False,931.3,0,112.9,2,113.0,8,11,9.4,21,13.1,23,85.0,12,111.9,1,209.6,2,9.2,175.8,2,True,13.4,6,28,112,431,0,0,0,2,536.1,0,0,0,1,717.8,,0,0,0,0,0,0,0,0,,0,0,0,0,,129.9,0,2,7,26,66.6,3,9,24,71,0,0,0,0,,0,0,0,2,803.4,0,0,0,0,,720.0,0,0,0,1,0,0,2,30,450.7,23.4,5,2,2,18,78,50.4,commercial,50.4,1150.8,1,13149803.0,federal_city,million+,ЦФО,central,2463550.0,173747.6,120000.0,True,True
28.0,496.5,DOSTOEVSKOGO 80           KAZAN       ,"Россия, Республика Татарстан (Татарстан), Казань, улица Достоевского, 80",49.160133,55.78689,Россия,Республика Татарстан (Татарстан),городской округ Казань,Казань,улица Достоевского,80,57.83,-0.1019128304943314,True,False,False,False,False,True,True,False,True,True,True,False,False,,0,53.5,3,,0,4,27.3,7,53.3,3,31.5,6,18.6,12,201.2,2,0.0,240.8,1,False,59.7,1,3,11,79,0,1,1,2,258.8,0,0,0,0,,192.9,0,3,5,26,0,0,0,0,,0,0,0,0,,849.3,0,0,0,3,244.8,0,1,2,4,0,0,0,0,,0,0,0,0,,0,3,7,23,211.6,,0,0,0,0,0,0,0,0,,45.2,9,0,5,10,35,178.4,commercial,59.7,3170.5,0,1318604.0,regional_capital,million+,ПФО,central,900000.0,93970.8,70000.0,False,False
29.0,496.5,LENINA 32                 YUKHNOV     ,"Россия, Калужская область, Юхнов, улица Ленина, 32",35.225574,54.740891,Россия,Калужская область,городское поселение Юхнов,Юхнов,улица Ленина,32,33.78,-0.050898436991619,False,False,False,False,False,False,False,False,False,False,False,False,False,245.3,1,159.6,1,128.1,5,4,104.0,2,18.1,1,88.3,1,158.5,2,0.0,0,0.0,117.6,1,False,142.2,0,4,8,9,0,0,0,0,,0,0,0,0,,3.4,1,4,8,17,0,0,0,0,,0,0,0,0,,571.4,0,0,0,1,447.8,0,0,1,1,0,0,0,0,,0,0,0,0,,1,9,23,77,59.6,,0,0,0,0,1,1,1,1,88.1,29.6,12,1,10,31,95,59.6,residential,59.6,,0,,,,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
30.0,496.5,SHKOLNAYA 4               TULOMA      ,"Россия, Мурманская область, Кольский район, сельское поселение Тулома, село Тулома, Школьная улица, 4",32.690403,68.81876,Россия,Мурманская область,сельское поселение Тулома,село Тулома,Школьная улица,4,4.76,-0.0898951648876469,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,128.2,2,225.4,1,0,,0,118.3,1,196.1,2,50.4,4,176.6,1,0.0,99.9,1,False,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,1,1,302.1,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,1,1,1,175.5,,0,0,1,2,2,214.2,commercial,214.2,,0,,,,СЗФО,north,1450000.0,110000.0,90000.0,False,False
31.0,496.5,STUDENCHESKAYA 14         KISELEVSK   ,"Россия, Кемеровская область — Кузбасс, Киселёвск, Студенческая улица, 14",86.706325,54.004162,Россия,Кемеровская область — Кузбасс,Киселёвский городской округ,Киселёвск,Студенческая улица,14,26.39,-0.1157927479788164,False,False,True,False,False,True,True,True,True,True,True,False,False,157.1,1,,0,383.9,0,0,,0,,0,,0,162.0,1,231.0,1,0.0,297.3,1,False,141.0,0,1,1,1,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,commercial,141.0,13241.9,0,,,,СФО,siberia,510000.0,96647.95,38000.0,False,False
32.0,496.5,STROITELEY 40             ULAN-UDE    ,"Россия, Республика Бурятия, Улан-Удэ, проспект Строителей, 40",107.646189,51.809608,Россия,Республика Бурятия,городской округ Улан-Удэ,Улан-Удэ,проспект Строителей,40,2.77,-0.0288717857848664,False,False,False,False,False,True,True,False,True,True,True,False,False,1027.0,0,660.6,0,663.0,0,3,831.9,0,295.7,1,98.8,4,249.7,2,148.8,1,0.0,173.9,2,False,409.8,0,0,2,4,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,952.6,0,0,0,2,,0,0,0,0,0,0,0,0,,5,14,24,36,20.9,1,1,3,14,59.5,,0,0,0,0,0,0,0,0,,36.3,1,1,1,4,18,59.5,residential,20.9,5188.6,0,439128.0,regional_capital,medium,ДФО,far_east,1941987.857142857,148263.98333333334,135440.0,False,False
34.0,1022.0,ABB 1 CHUJKOVA            KAZAN       ,"Россия, Республика Татарстан (Татарстан), Казань, улица Маршала Чуйкова, 1",49.103953,55.836378,Россия,Республика Татарстан (Татарстан),городской округ Казань,Казань,улица Маршала Чуйкова,1,57.83,-0.0473886955804335,False,False,False,False,False,False,False,False,False,False,False,False,False,721.0,0,36.1,5,52.8,8,9,166.7,7,34.7,7,121.7,5,154.7,6,135.9,4,112.2,0.0,0,True,107.5,0,12,26,61,0,0,0,0,,0,0,0,0,,97.2,1,3,10,25,0,0,0,0,,1,1,1,1,66.4,339.1,0,0,3,6,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,240.8,0,2,2,3,0,0,0,0,,18.7,7,0,0,0,0,,commercial,107.5,4670.1,0,1318604.0,regional_capital,million+,ПФО,central,900000.0,93970.8,70000.0,False,False
36.0,32.0,"KOMSOMOLSKAYA, 76      TOLYATTI       ","Россия, Самарская область, Тольятти, Комсомольская улица, 76",49.416468,53.5193,Россия,Самарская область,городской округ Тольятти,Тольятти,Комсомольская улица,76,58.51,0.1333491692964755,False,False,False,False,False,False,True,False,True,False,True,False,False,366.9,0,108.7,1,362.6,0,1,170.8,1,98.2,1,51.7,6,86.8,13,175.9,1,0.0,0.0,0,False,1.7,2,3,8,37,0,0,0,1,902.9,0,0,0,0,,173.6,0,1,4,17,0,0,0,0,,0,0,1,2,427.7,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,6,15,284.4,908.2,0,0,0,2,0,0,0,0,,47.2,8,0,1,7,17,284.4,residential,284.4,,0,684709.0,city,large,ПФО,central,700000.0,87942.1,70000.0,False,False
37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Россия, Красноярский край, Норильск, Гвардейская площадь, 2",88.211228,69.343544,Россия,Красноярский край,городской округ Норильск,Норильск,Гвардейская площадь,2,1.18,0.0792773520096629,False,False,False,False,False,False,False,False,False,False,False,False,False,847.4,0,355.7,0,103.6,3,1,102.7,4,78.3,1,53.5,18,27.8,5,38.7,4,0.0,119.6,1,False,25.1,2,14,19,49,0,0,0,0,,0,0,0,0,,127.0,0,5,13,47,0,0,0,0,,0,0,0,0,,,0,0,0,0,259.5,0,1,1,2,0,0,0,0,,0,0,0,0,,0,0,0,0,1074.2,633.7,0,0,0,1,0,0,0,0,,40.1,9,0,0,0,3,799.9,industrial,799.9,842.4,1,,,,СФО,siberia,1200000.0,104869.1,38000.0,False,False
39.0,32.0,"SHKOLNAYA, 16          NORILSK        ","Россия, Красноярский край, Норильск, Школьная улица, 16",87.755207,69.350498,Россия,Красноярский край,городской округ Норильск,Норильск,Школьная улица,16,1.18,0.187148423451116,False,False,False,False,False,False,False,False,False,False,False,False,False,50.7,1,36.9,3,105.7,2,1,704.8,0,156.3,1,118.5,3,22.4,2,207.9,1,0.0,141.3,1,False,13.4,1,4,4,5,0,0,0,0,,0,0,0,0,,202.2,0,3,8,11,0,0,0,0,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,1,719.2,0,0,0,0,,1,1,1,1,46.1,582.2,0,0,0,2,0,0,0,0,,,0,1,3,4,5,46.1,residential,46.1,14307.9,0,,,,СФО,siberia,1200000.0,104869.1,38000.0,False,False
40.0,32.0,"TALNAKHSKAYA, 56       NORILSK        ","Россия, Красноярский край, Норильск, Талнахская улица, 56",88.205551,69.356575,Россия,Красноярский край,городской округ Норильск,Норильск,Талнахская улица,56,1.18,0.173271808610795,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,163.7,1,178.5,2,2,253.9,2,348.6,0,69.5,6,259.3,1,88.8,5,0.0,195.1,2,False,188.8,0,3,8,45,0,0,0,0,,0,0,0,0,,133.0,0,6,15,45,0,0,0,0,,0,0,0,0,1025.2,278.2,0,1,2,3,630.2,0,0,0,1,0,0,0,0,,0,0,0,0,,0,0,0,1,537.0,,0,0,0,0,0,0,0,1,563.1,77.3,2,0,0,0,0,,industrial,262.5,726.4,1,,,,СФО,siberia,1200000.0,104869.1,38000.0,False,False
41.0,32.0,"MOSKOVSKAYA, 2         KYZYL          ","Россия, Республика Тыва, Кызыл, Московская улица, 2",94.40575,51.705247,Россия,Республика Тыва,городской округ Кызыл,Кызыл,Московская улица,2,1.98,0.1545328148770817,False,False,False,False,False,False,False,False,False,False,False,False,False,,0,617.0,0,571.4,0,0,,0,,0,106.3,2,139.8,2,,0,,,0,False,181.2,0,3,4,4,0,0,0,0,,0,0,0,0,,453.1,0,0,1,2,0,0,0,0,,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,1,597.5,0,2,12,46,230.3,,0,0,0,0,0,0,0,0,,55.9,3,0,2,12,49,230.3,commercial,181.2,2278.9,0,,,,СФО,siberia,363158.0,96647.95,38000.0,False,False
