id,nearest_cafes_name,nearest_cafes_dist_m,count_cafes_100m,count_cafes_300m,count_cafes_500m,nearest_restaurants_name,nearest_restaurants_dist_m,count_restaurants_100m,count_restaurants_300m,count_restaurants_500m,nearest_public_transport_name,nearest_public_transport_dist_m,count_public_transport_100m,count_public_transport_300m,count_public_transport_500m,nearest_parking_name,nearest_parking_dist_m,count_parking_100m,count_parking_300m,count_parking_500m
165.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
166.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
168.0,Не удалось узнать название,233.8,0,1,2,Додо Пицца,178.1,0,5,10,Художественная школа,71.0,4,12,16,Не удалось узнать название,58.4,1,12,26
169.0,Нирвана,144.1,0,3,11,Топчан,121.5,0,2,6,Токарей,35.2,4,10,18,Не удалось узнать название,41.8,2,8,24
170.0,Котокафе Мяу,206.7,0,2,5,Своя компания,200.9,0,3,7,Трамвайный парк,201.2,0,7,25,Не удалось узнать название,47.5,3,7,28
171.0,Старбакс,31.9,6,6,7,Sbarro,35.2,13,14,14,ТЦ «Мега»,158.0,0,8,16,Не удалось узнать название,220.7,0,6,13
172.0,Старбакс,31.9,6,6,7,Sbarro,35.2,13,14,14,ТЦ «Мега»,158.0,0,8,16,Не удалось узнать название,220.7,0,6,13
173.0,Caramella,151.5,0,7,22,One Гоги,123.0,0,4,16,Педагогический университет,62.9,4,14,38,Не удалось узнать название,25.9,2,2,17
174.0,Магнитка food,258.6,0,1,3,Питерская шаурма,202.7,0,2,6,Куранты,158.8,0,6,18,Не удалось узнать название,93.1,1,7,18
175.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
176.0,Крема,241.8,0,3,5,Familia,529.1,0,0,0,просп. Ленина,59.9,2,5,15,Не удалось узнать название,335.9,0,0,7
177.0,Кофейня №7,11.8,4,21,49,Бургер Кинг,47.6,2,18,43,Площадь Малышева,67.2,4,6,20,Не удалось узнать название,56.6,4,14,30
178.0,Кофейня №7,11.8,4,21,49,Бургер Кинг,47.6,2,18,43,Площадь Малышева,67.2,4,6,20,Не удалось узнать название,56.6,4,14,30
179.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
180.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,40.5,0,0,0
181.0,Pizza Mia,91.9,1,7,18,Bluberry,155.8,0,6,18,Площадь Революции,22.9,6,15,29,Не удалось узнать название,128.1,0,9,32
182.0,Сказка,258.7,0,1,1,Shaurma #1,47.1,1,3,5,Улица Советской Армии,54.9,3,14,20,Не удалось узнать название,61.3,1,2,7
184.0,Fashion Coffee,301.6,0,0,7,Coffee Like,134.9,0,3,10,Проспект Ленина,94.2,2,11,15,Не удалось узнать название,65.6,1,1,5
185.0,Пенка,109.3,0,10,22,Cha cha,44.8,0,0,0,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
186.0,Халяль,237.5,0,1,2,Патриот,49.7,2,3,5,ДК Восток,115.8,0,12,23,Не удалось узнать название,35.5,1,3,6
187.0,Не удалось узнать название,145.0,0,3,3,Восточный рай,136.2,0,1,2,Комсомольский проспект,125.5,0,10,15,Не удалось узнать название,23.1,3,7,11
188.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
189.0,Кофе муз,41.5,1,2,3,Сагаан-Дали,206.0,0,4,8,Улица Молодогвардейцев,66.6,3,10,18,Не удалось узнать название,111.0,0,5,18
190.0,Кофейня №7,11.8,4,21,49,Бургер Кинг,47.6,2,18,43,Площадь Малышева,67.2,4,6,20,Не удалось узнать название,56.6,4,14,30
191.0,Чилим,449.1,0,0,4,Pizza Mia,454.6,0,0,2,Дом художника,279.0,0,2,9,Гаражный бокс,118.7,0,9,27
192.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
193.0,Sushki,497.4,0,0,1,Додо Пицца,197.8,0,3,3,Улица Уинская,123.6,0,10,20,Не удалось узнать название,60.6,6,14,41
194.0,Пастэль,25.5,1,3,5,Алендвик,6.1,3,3,4,Элегант,87.9,1,2,5,Не удалось узнать название,26.1,7,12,15
195.0,Не удалось узнать название,335.9,0,0,2,Бургер Кинг,156.8,0,6,8,ТК «Кольцо»,256.5,0,2,8,Не удалось узнать название,13.3,9,43,74
196.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
197.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
198.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
200.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
201.0,Валери,212.9,0,1,2,Не удалось узнать название,311.9,0,0,3,Не удалось узнать название,54.3,1,6,9,Не удалось узнать название,39.7,1,2,6
203.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
204.0,Red Cup,51.5,1,4,10,Халва,17.7,4,11,13,Гипермаркет «Семья»,46.3,2,12,27,Не удалось узнать название,82.2,1,18,47
205.0,Пролетарский кофе - кофе на вынос,109.3,0,1,2,Southern Fried Chicken,63.1,1,1,1,Пермский завод силикатных панелей,104.5,0,4,10,Не удалось узнать название,59.7,1,4,5
206.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
207.0,Япона мама,314.1,0,0,3,Своя компания,338.2,0,0,3,Школа,290.8,0,1,12,Не удалось узнать название,33.1,3,13,32
208.0,Не удалось узнать название,541.8,0,0,0,Kannam Chicken,415.2,0,0,1,Улица Переселенческая,116.7,0,8,18,Не удалось узнать название,97.6,1,8,13
209.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
210.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
211.0,Остров суши и пиццы,125.9,0,1,3,Додо Пицца,138.6,0,3,4,Теплотехнический институт,39.3,6,9,15,Не удалось узнать название,19.5,3,8,16
212.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
213.0,Магнитка food,258.6,0,1,3,Питерская шаурма,202.7,0,2,6,Куранты,158.8,0,6,18,Не удалось узнать название,93.1,1,7,18
214.0,КиС`С,196.7,0,3,4,Халва,90.3,2,2,3,Швейная фабрика,66.3,4,7,24,Не удалось узнать название,140.5,0,13,36
215.0,Крема,241.8,0,3,5,Familia,529.1,0,0,0,просп. Ленина,59.9,2,5,15,Не удалось узнать название,335.9,0,0,7
217.0,Столовая,343.2,0,0,1,Бургер Кинг,35.1,2,2,2,ТРК Фиеста,231.3,0,5,14,Не удалось узнать название,115.8,0,6,14
218.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
219.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
220.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
221.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
222.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
223.0,Kombinat,406.3,0,0,2,Вкус востока,239.3,0,1,2,Улица Блюхера,220.4,0,4,6,Не удалось узнать название,94.4,1,12,29
224.0,Помидор,49.5,1,1,3,Rostiс's,18.2,2,2,3,ТК «Слава»,58.8,4,4,21,Не удалось узнать название,41.3,3,13,40
225.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
226.0,Вилка-ложка,9.3,6,15,24,Бургер Кинг,10.4,8,22,36,Улица Радищева,183.7,0,12,20,Не удалось узнать название,65.6,2,7,19
227.0,Coffee Like,107.8,0,1,2,Гриль культура,104.0,0,3,6,25-й микрорайон,113.9,0,8,12,Не удалось узнать название,52.6,2,19,56
228.0,Flat,187.4,0,1,3,Додо Пицца,171.8,0,2,5,Площадь,87.2,1,2,5,Не удалось узнать название,111.7,0,9,16
229.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
230.0,Лоза,444.8,0,0,1,Не удалось узнать название,186.2,0,1,6,Посадская,38.9,4,10,19,Не удалось узнать название,84.9,1,7,19
231.0,Дебют,85.7,1,14,27,Компот,104.1,0,21,38,Площадь 1905 года,127.8,0,14,23,Не удалось узнать название,11.4,1,10,27
232.0,Tea Funny,444.8,0,0,1,Subway,65.3,1,1,7,Улица 250-летия Челябинска,23.5,5,8,9,Не удалось узнать название,38.6,7,20,46
