id,atm_group,address,geo_address,geo_lon,geo_lat,country,province,area,locality,street,house,target,isTrain
11.0,496.5,LENINA 263B               NOVAYA USMAN,"Россия, Воронежская область, село Новая Усмань, улица Ленина, 263",39.409622,51.642905,Россия,Воронежская область,Усманское 1-е сельское поселение,село Новая Усмань,улица Ленина,263,,False
12.0,496.5,MIRA 6                    KOSTROMA    ,"Россия, Костромская область, городской округ Кострома, Кострома, проспект Мира, 6",40.926894,57.767918,Россия,Костромская область,городской округ Кострома,Кострома,проспект Мира,6,-0.0899085646576374,True
13.0,496.5,KOMMUNARSKIY 18           BIYSK       ,"Россия, Алтайский край, Бийск, Коммунарский переулок, 18",85.221734,52.540568,Россия,Алтайский край,городской округ Бийск,Бийск,Коммунарский переулок,18,-0.05035007441799,True
14.0,496.5,K.LIBKNEKHTA 13           ZHUKOVKA    ,"Россия, Брянская область, Жуковка, улица Карла Либкнехта, 15",33.719225,53.530257,Россия,Брянская область,Жуковский муниципальный округ,Жуковка,улица Карла Либкнехта,15,-0.0919098487755485,True
15.0,496.5,LENINA 185                DYATKOVO    ,"Россия, Брянская область, Дятьково, улица Ленина, 185",34.332083,53.60189,Россия,Брянская область,Дятьковское городское поселение,Дятьково,улица Ленина,185,-0.0522853877145313,True
16.0,496.5,"III INTERNATSIONALA,10    PETUSHKI    ","Россия, Владимирская область, Петушки, улица 3-го Интернационала, 10",39.456783,55.93665,Россия,Владимирская область,Петушинский муниципальный округ,Петушки,улица 3-го Интернационала,10,-0.0075570235493654,True
17.0,496.5,"K.MARKSA, 68              KURSK       ","Россия, Курск, улица Карла Маркса, 68",36.184553,51.762129,Россия,Курская область,городской округ Курск,Курск,улица Карла Маркса,68,,False
18.0,496.5,VERKHNAYA DUBROVA 26ZH    VLADIMIR    ,"Россия, Владимир, улица Верхняя Дуброва, 26Ж",40.344067,56.108954,Россия,Владимирская область,городской округ Владимир,Владимир,улица Верхняя Дуброва,26Ж,-0.0904744912209494,True
19.0,496.5,1 VOKZALNAYA 28B          BARIBINO    ,"Россия, Московская область, Домодедово, микрорайон Барыбино, 1-я Вокзальная улица, 28Б",37.893966,55.270415,Россия,Московская область,городской округ Домодедово,Домодедово,1-я Вокзальная улица,28Б,,False
20.0,496.5,MELIORATOROV 17           KAA-KHEM    ,"Россия, Республика Тыва, Кызылский кожуун, посёлок городского типа Каа-Хем, улица Мелиораторов, 17",94.568668,51.690001,Россия,Республика Тыва,Кызылский кожуун,посёлок городского типа Каа-Хем,улица Мелиораторов,17,,False
21.0,496.5,SOVETSKAYA 126            EGORIEVSK   ,"Россия, Московская область, Егорьевск, Советская улица, 126",39.039273,55.380109,Россия,Московская область,муниципальный округ Егорьевск,Егорьевск,Советская улица,126,0.1371247956345581,True
22.0,496.5,LENINA 20                 EGORIEVSK   ,"Россия, Московская область, Егорьевск, проспект Ленина, 20",39.058263,55.370871,Россия,Московская область,муниципальный округ Егорьевск,Егорьевск,проспект Ленина,20,,False
23.0,496.5,SOVETSKAYA 7              TOSNO       ,"Россия, Ленинградская область, Тосно, Советская улица, 7",30.880531,59.542338,Россия,Ленинградская область,Тосненское городское поселение,Тосно,Советская улица,7,-0.0372481385473647,True
24.0,496.5,PIONERSKAYA 10A           KHABAROVSK  ,"Россия, Хабаровск, Пионерская улица, 10А",135.089677,48.458832,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,Пионерская улица,10А,0.0093968232600801,True
25.0,496.5,KIROVA 44                 UZHUR       ,"Россия, Красноярский край, Ужур, улица Кирова, 44",89.839928,55.319064,Россия,Красноярский край,городское поселение Ужур,Ужур,улица Кирова,44,-0.1059464807142526,True
26.0,496.5,"ARBAT,1                   MOSCOW      ","Россия, Москва, улица Арбат, 1",37.599292,55.751817,Россия,Москва,Дмитровский муниципальный округ,Москва,улица Арбат,1,-0.1450012314747548,True
27.0,496.5,BEREGOVAYA 51             KOSTROMA    ,"Россия, Кострома, Береговая улица, 51",40.878843,57.782465,Россия,Костромская область,городской округ Кострома,Кострома,Береговая улица,51,,False
28.0,496.5,DOSTOEVSKOGO 80           KAZAN       ,"Россия, Республика Татарстан (Татарстан), Казань, улица Достоевского, 80",49.160133,55.78689,Россия,Республика Татарстан (Татарстан),городской округ Казань,Казань,улица Достоевского,80,-0.1019128304943314,True
29.0,496.5,LENINA 32                 YUKHNOV     ,"Россия, Калужская область, Юхнов, улица Ленина, 32",35.225574,54.740891,Россия,Калужская область,городское поселение Юхнов,Юхнов,улица Ленина,32,-0.050898436991619,True
30.0,496.5,SHKOLNAYA 4               TULOMA      ,"Россия, Мурманская область, Кольский район, сельское поселение Тулома, село Тулома, Школьная улица, 4",32.690403,68.81876,Россия,Мурманская область,сельское поселение Тулома,село Тулома,Школьная улица,4,-0.0898951648876469,True
31.0,496.5,STUDENCHESKAYA 14         KISELEVSK   ,"Россия, Кемеровская область — Кузбасс, Киселёвск, Студенческая улица, 14",86.706325,54.004162,Россия,Кемеровская область — Кузбасс,Киселёвский городской округ,Киселёвск,Студенческая улица,14,-0.1157927479788164,True
32.0,496.5,STROITELEY 40             ULAN-UDE    ,"Россия, Республика Бурятия, Улан-Удэ, проспект Строителей, 40",107.646189,51.809608,Россия,Республика Бурятия,городской округ Улан-Удэ,Улан-Удэ,проспект Строителей,40,-0.0288717857848664,True
33.0,496.5,LOBOVA 26                 MURMANSK    ,"Россия, Мурманск, улица Адмирала Флота Лобова, 26",33.093064,69.02085,Россия,Мурманская область,городской округ Мурманск,Мурманск,улица Адмирала Флота Лобова,26,,False
34.0,1022.0,ABB 1 CHUJKOVA            KAZAN       ,"Россия, Республика Татарстан (Татарстан), городской округ Казань, Казань, улица Маршала Чуйкова, 1",49.106414,55.796127,Россия,Республика Татарстан (Татарстан),городской округ Казань,Казань,улица Маршала Чуйкова,1,-0.0473886955804335,True
35.0,32.0,"KOSMONAVTOV, 39        NORILSK        ","Россия, Красноярский край, Норильск, улица Космонавтов, 39",88.374739,69.495086,Россия,Красноярский край,городской округ Норильск,Норильск,улица Космонавтов,39,,False
36.0,32.0,"KOMSOMOLSKAYA, 76      TOLYATTI       ","Россия, Самарская область, Тольятти, Комсомольская улица, 76",49.416468,53.5193,Россия,Самарская область,городской округ Тольятти,Тольятти,Комсомольская улица,76,0.1333491692964755,True
37.0,32.0,"GVARDEYSKAYA PL., 2    NORILSK        ","Россия, Красноярский край, Норильск, Гвардейская площадь, 2",88.211228,69.343544,Россия,Красноярский край,городской округ Норильск,Норильск,Гвардейская площадь,2,0.0792773520096629,True
38.0,32.0,"BAUMANSKAYA, 8A        NORILSK        ","Россия, Красноярский край, Норильск, Бауманская улица, 8А",88.380821,69.491704,Россия,Красноярский край,городской округ Норильск,Норильск,Бауманская улица,8А,,False
39.0,32.0,"SHKOLNAYA, 16          NORILSK        ","Россия, Красноярский край, Норильск, Школьная улица, 16",87.755207,69.350498,Россия,Красноярский край,городской округ Норильск,Норильск,Школьная улица,16,0.187148423451116,True
40.0,32.0,"TALNAKHSKAYA, 56       NORILSK        ","Россия, Красноярский край, Норильск, Талнахская улица, 56",88.205551,69.356575,Россия,Красноярский край,городской округ Норильск,Норильск,Талнахская улица,56,0.173271808610795,True
41.0,32.0,"MOSKOVSKAYA, 2         KYZYL          ","Россия, Республика Тыва, Кызыл, Московская улица, 2",94.40575,51.705247,Россия,Республика Тыва,городской округ Кызыл,Кызыл,Московская улица,2,0.1545328148770817,True
42.0,32.0,"VOLOKOLAMSKOE SH., 2   MOSCOW         ","Россия, Москва, Волоколамское шоссе, 2",37.504924,55.807592,Россия,Москва,городской округ Клин,Москва,Волоколамское шоссе,2,,False
43.0,32.0,"MIKHAILA POPOVICHA, 4A VOLOGDA        ","Россия, Вологда, улица Михаила Поповича, 4А",39.836097,59.241084,Россия,Вологодская область,городской округ Вологда,Вологда,улица Михаила Поповича,4А,0.1091918636156862,True
44.0,32.0,"GUBAREVICHA, 5         ELISTRA        ","Россия, Республика Калмыкия, Элиста, улица Губаревича, 5",44.272804,46.307693,Россия,Республика Калмыкия,городской округ Элиста,Элиста,улица Губаревича,5,0.1395427936652576,True
45.0,32.0,"KUBANSKAYA, 23, 2      ASTRAKHAN      ","Россия, Астрахань, Кубанская улица, 23к2",48.039754,46.32687,Россия,Астраханская область,городской округ Астрахань,Астрахань,Кубанская улица,23к2,0.0965890678166445,True
46.0,32.0,"Fedorovskiy ruchey,2   V.Novgorod     ","Россия, Великий Новгород, район Торговая сторона, улица Фёдоровский Ручей, 2Г",31.287558,58.522566,Россия,Новгородская область,городской округ Великий Новгород,Великий Новгород,улица Фёдоровский Ручей,2Г,,False
47.0,32.0,"LENINA, 36             KYZYL          ","Россия, Республика Тыва, Кызыл, улица Ленина, 36",94.436616,51.720682,Россия,Республика Тыва,городской округ Кызыл,Кызыл,улица Ленина,36,,False
48.0,32.0,"SOLNECHNAYA, 18.3      KRASNODAR      ","Россия, Краснодар, Солнечная улица, 18/3",39.004418,45.071529,Россия,Краснодарский край,городской округ Краснодар,Краснодар,Солнечная улица,18/3,0.1527974602485232,True
50.0,32.0,"VERESHCHAGINA, 45      CHEREPOVETS    ","Россия, Вологодская область, Череповец, улица Верещагина, 45",37.91549,59.128145,Россия,Вологодская область,городской округ Череповец,Череповец,улица Верещагина,45,0.1512257297587029,True
51.0,32.0,"LOPSANCHAPA, 37        KYZYL          ","Россия, Республика Тыва, Кызыл, улица Ооржака Лопсанчапа, 37",94.419826,51.698593,Россия,Республика Тыва,городской округ Кызыл,Кызыл,улица Ооржака Лопсанчапа,37,,False
52.0,496.5,LENINA 141                TOMSK       ,"Россия, Томск, проспект Ленина, 141",84.948646,56.49455,Россия,Томская область,городской округ Томск,Томск,проспект Ленина,141,-0.1187383641498073,True
53.0,496.5,"50 LET OKTYABRYA,16       PETROPAVLOVS","Россия, Камчатский край, Петропавловск-Камчатский, проспект 50 лет Октября, 16",158.636344,53.056274,Россия,Камчатский край,городской округ Петропавловск-Камчатский,Петропавловск-Камчатский,проспект 50 лет Октября,16,0.0071866264648658,True
54.0,496.5,RIBNIKOV 1                UMBA        ,"Россия, Мурманская область, Терский район, посёлок городского типа Умба, улица Рыбников, 1",34.338838,66.674855,Россия,Мурманская область,городское поселение Умба,посёлок городского типа Умба,улица Рыбников,1,-0.1115836130382242,True
55.0,496.5,PERVOMAYSKAYA 59A         KANDALAKSHA ,"Россия, Мурманская область, Кандалакша, Первомайская улица, 59",32.414952,67.153019,Россия,Мурманская область,городское поселение Кандалакша,Кандалакша,Первомайская улица,59,-0.1014424435022527,True
56.0,496.5,GEROEV RIBACHYEGO 51      MURMANSK    ,"Россия, Мурманск, улица Героев Рыбачьего, 51",33.097349,68.888479,Россия,Мурманская область,городской округ Мурманск,Мурманск,улица Героев Рыбачьего,51,,False
57.0,496.5,TSENTRALNAYA 9B           SVETLOLOBOVO,"Россия, Красноярский край, Балахтинско-Новоселовский округ, село Светлолобово, Центральная улица, 9",90.851772,55.090402,Россия,Красноярский край,Балахтинско-Новоселовский округ,село Светлолобово,Центральная улица,9,-0.0800818402124782,True
59.0,496.5,KRASNOGVARDEYSKAYA 75/1   SPASSK DALNI,"Россия, Приморский край, Спасск-Дальний, Красногвардейская улица, 75/1",132.826623,44.576938,Россия,Приморский край,городской округ Спасск-Дальний,Спасск-Дальний,Красногвардейская улица,75/1,-0.0295444188673066,True
60.0,496.5,OKTYABRSKAYA 93V          MINUSINSK   ,"Россия, Красноярский край, Минусинск, Октябрьская улица, 93",91.702081,53.706886,Россия,Красноярский край,Минусинский муниципальный округ,Минусинск,Октябрьская улица,93,,False
61.0,496.5,DZERZHINSKOGO 82/2        VELSK       ,"Россия, Архангельская область, Вельск, улица Дзержинского, 82",42.112428,61.069724,Россия,Архангельская область,муниципальное образование Вельское,Вельск,улица Дзержинского,82,-0.069485196898084,True
62.0,496.5,LENINA 2                  USMAN       ,"Россия, Липецкая область, Усмань, улица Ленина, 2",39.736662,52.038854,Россия,Липецкая область,городское поселение Усмань,Усмань,улица Ленина,2,-0.0560772655674922,True
63.0,496.5,PCHELKINA 15B             CHEMAL      ,"Россия, Республика Алтай, Чемальский район, село Чемал, улица Пчёлкина, 15Б",86.001938,51.40953,Россия,Республика Алтай,Чемальский район,село Чемал,улица Пчёлкина,15Б,,False
64.0,496.5,DZERZHINSKOGO 32          YAKUTSK     ,"Россия, Республика Саха (Якутия), Якутск, улица Дзержинского, 32",129.740982,62.045845,Россия,Республика Саха (Якутия),городской округ Якутск,Якутск,улица Дзержинского,32,-0.0170205853646332,True
65.0,496.5,KRASNOARMEYSKAYA 102      KYZYL       ,"Россия, Республика Тыва, Кызыл, Красноармейская улица, 102",94.439535,51.716977,Россия,Республика Тыва,городской округ Кызыл,Кызыл,Красноармейская улица,102,0.0179476397601973,True
66.0,496.5,INTERNATSIONALNAYA 76     KALININGRAD ,"Россия, Калининград, Интернациональная улица, 76",20.510281,54.66891,Россия,Калининградская область,городской округ Калининград,Калининград,Интернациональная улица,76,-0.1425206147443734,True
67.0,496.5,OKTYABRSKAYA 20           KLINTSI     ,"Россия, Брянская область, Клинцы, Октябрьская улица, 20",32.237616,52.749153,Россия,Брянская область,городской округ Клинцы,Клинцы,Октябрьская улица,20,-0.0722508966931076,True
68.0,496.5,VOROSHILOVA 6/24          KRASNIY SULI,"Россия, Ростовская область, Красный Сулин, улица Ворошилова, 6",40.057037,47.894757,Россия,Ростовская область,Красносулинское городское поселение,Красный Сулин,улица Ворошилова,6,-0.0662641044561293,True
69.0,496.5,KOLOMEYTSEVA 13A          YASHKUL     ,"Россия, Республика Калмыкия, поселок Яшкуль, улица Коломейцева, 13",45.352265,46.171941,Россия,Республика Калмыкия,Яшкульский район,поселок Яшкуль,улица Коломейцева,13,-0.0313454874829662,True
70.0,496.5,ZEMLYANOY VAL 29/1        MOSCOW      ,"Россия, Москва, улица Земляной Вал, 29с1",37.661356,55.757085,Россия,Москва,,Москва,улица Земляной Вал,29с1,-0.0666485102464103,True
71.0,496.5,AZINA 55A                 SARAPUL     ,"Россия, Удмуртская Республика, Сарапул, улица Азина, 55А",53.806992,56.467394,Россия,Удмуртская Республика,городской округ Сарапул,Сарапул,улица Азина,55А,-0.0687390909149746,True
72.0,496.5,MIRA 11A                  LAKINSK     ,"Россия, Владимирская область, Собинский муниципальный округ, Лакинск, улица Мира, 11А",39.949446,56.01711,Россия,Владимирская область,Собинский муниципальный округ,Лакинск,улица Мира,11А,-0.0633030024752921,True
73.0,496.5,FRUNZE 2A                 SUKPAK      ,"Россия, Республика Тыва, Кызылский кожуун, село Сукпак, улица Фрунзе, 2А",94.268559,51.649913,Россия,Республика Тыва,Кызылский кожуун,село Сукпак,улица Фрунзе,2А,0.0304689035144139,True
74.0,496.5,LENINGRADSKAYA 28-N       KHABAROVSK  ,"Россия, Хабаровск, Ленинградская улица, 28",135.09468,48.483783,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,Ленинградская улица,28,,False
75.0,496.5,SOVETSKAYA 82             STARONIZHEST,"Россия, Красноармейский район, станица Старонижестеблиевская, Советская улица, 82",38.438668,45.377907,Россия,Краснодарский край,Старонижестеблиевское сельское поселение,станица Старонижестеблиевская,Советская улица,82,0.0891053493398533,True
76.0,496.5,PSKOVSKAYA 2              VOLOGDA     ,"Россия, Вологда, Псковская улица, 2",39.829386,59.201062,Россия,Вологодская область,городской округ Вологда,Вологда,Псковская улица,2,-0.0882078468766762,True
77.0,496.5,LENINA 35                 NOVOZIBKOV  ,"Россия, Брянская область, Новозыбков, улица Ленина, 35",31.94119,52.534543,Россия,Брянская область,Новозыбковский городской округ,Новозыбков,улица Ленина,35,-0.0690883399283735,True
78.0,496.5,KRASNAYA 112              VEL. USTUG  ,"Россия, Вологодская область, Великий Устюг, Красная улица, 112",46.306895,60.759108,Россия,Вологодская область,Великоустюгский муниципальный округ,Великий Устюг,Красная улица,112,-0.0620400053633821,True
79.0,496.5,DZERZHINSKOGO 57          KINTSY      ,"Россия, Брянская область, Клинцы, улица Дзержинского, 57",32.247381,52.752849,Россия,Брянская область,городской округ Клинцы,Клинцы,улица Дзержинского,57,-0.0154044290993901,True
80.0,496.5,BRYANSKAYA 67A            TRUBCHEVSK  ,"Россия, Брянская область, Трубчевск, Брянская улица, 67А",33.766477,52.580396,Россия,Брянская область,Трубчевское городское поселение,Трубчевск,Брянская улица,67А,-0.1148972734370241,True
81.0,496.5,VOROBIEVSKAYA 16A         SERGIEV POSA,"Россия, Московская область, Сергиев Посад, Воробьёвская улица, 16А",38.127043,56.297253,Россия,Московская область,Сергиево-Посадский городской округ,Сергиев Посад,Воробьёвская улица,16А,0.0248854529068815,True
82.0,496.5,LENINA 21                 BALASHIKHA  ,"Россия, Московская область, Балашиха, проспект Ленина, 21",37.93589,55.797508,Россия,Московская область,городской округ Балашиха,Балашиха,проспект Ленина,21,-0.047536990588607,True
83.0,496.5,KIROVA 28                 YARANSK     ,"Россия, Кировская область, Яранск, улица Кирова, 28",47.886439,57.304121,Россия,Кировская область,Яранское городское поселение,Яранск,улица Кирова,28,0.0185238750810188,True
84.0,496.5,KRUPSKOY 15               ZAKAMENSK   ,"Россия, Республика Бурятия, Закаменск, улица Крупской, 15",103.285471,50.375026,Россия,Республика Бурятия,Закаменский район,Закаменск,улица Крупской,15,0.0101635648872072,True
85.0,496.5,SADOVAYA 13               MARYANOVKA  ,"Россия, Омская область, рабочий посёлок Марьяновка, Садовая улица, 13",72.63966,54.96529,Россия,Омская область,Марьяновский район,рабочий посёлок Марьяновка,Садовая улица,13,-0.1450012314747548,True
86.0,496.5,MOSKOVSKAYA 14            PETUSHKI    ,"Россия, Владимирская область, Петушки, Московская улица, 14",39.454915,55.933327,Россия,Владимирская область,Петушинский муниципальный округ,Петушки,Московская улица,14,-0.0236394608296985,True
87.0,496.5,KONEVA 14A                VOLOGDA     ,"Россия, Вологда, улица Маршала Конева, 14А",39.901512,59.189651,Россия,Вологодская область,городской округ Вологда,Вологда,улица Маршала Конева,14А,-0.1164355601270624,True
88.0,496.5,MOSKOVSKY PRSP. 51A       CHEREPOVETS ,"Россия, Вологодская область, Череповец, Московский проспект, 51А",37.907854,59.123042,Россия,Вологодская область,городской округ Череповец,Череповец,Московский проспект,51А,,False
89.0,496.5,VOLODARSKOGO 1            TARUSA      ,"Россия, Калужская область, Таруса, улица Володарского, 1",37.181081,54.727089,Россия,Калужская область,городское поселение Таруса,Таруса,улица Володарского,1,-0.1333332450980473,True
90.0,496.5,MUKHINA 114               BLAGOVESCHNS,"Россия, Амурская область, Благовещенск, улица Мухина, 114",127.510366,50.280435,Россия,Амурская область,городской округ Благовещенск,Благовещенск,улица Мухина,114,,False
91.0,496.5,PERVOMAYSKAYA 4           FEDOROVSKAYA,"Россия, Краснодарский край, Абинский район, Фёдоровское сельское поселение, станица Фёдоровская, Первомайская улица, 4",38.46436,45.080523,Россия,Краснодарский край,Фёдоровское сельское поселение,станица Фёдоровская,Первомайская улица,4,0.0543352558914627,True
92.0,496.5,"MOSKOVSKIY PROSPEKT,129   YAROSLAVL   ","Россия, Ярославль, Московский проспект, 129",39.86769,57.594367,Россия,Ярославская область,городской округ Ярославль,Ярославль,Московский проспект,129,,False
93.0,496.5,ASTRAKHANSKAYA 189A       TAMBOV      ,"Россия, Тамбов, Астраханская улица, 189А",41.465335,52.675579,Россия,Тамбовская область,городской округ Тамбов,Тамбов,Астраханская улица,189А,-0.0778446091413019,True
94.0,496.5,YAROSLAVSKAYA 32          VOLOGDA     ,"Россия, Вологда, Ярославская улица, 32",39.870646,59.196412,Россия,Вологодская область,городской округ Вологда,Вологда,Ярославская улица,32,,False
95.0,496.5,PUSHKINA 85               BRYANSK     ,"Россия, Брянск, улица Пушкина, 85",34.395549,53.275827,Россия,Брянская область,городской округ Брянск,Брянск,улица Пушкина,85,,False
96.0,496.5,"70 LET OKTYABRYA, 19      OMSK        ","Россия, Омск, улица 70 лет Октября, 19",73.321536,54.980916,Россия,Омская область,городской округ Омск,Омск,улица 70 лет Октября,19,0.0062561472695739,True
97.0,496.5,LENINA 78                 BELORECHENSK,"Россия, Краснодарский край, Белореченск, улица Ленина, 78",39.868867,44.764507,Россия,Краснодарский край,Белореченское городское поселение,Белореченск,улица Ленина,78,-0.0879684361781098,True
98.0,496.5,GORKOGO 122               VOLOGDA     ,"Россия, Вологда, улица Горького, 122",39.912525,59.221569,Россия,Вологодская область,городской округ Вологда,Вологда,улица Горького,122,-0.0092350777250595,True
99.0,496.5,MIRA 82                   VOLOGDA     ,"Россия, Вологодская область, городской округ Вологда, Вологда, улица Мира, 82",39.891523,59.220501,Россия,Вологодская область,городской округ Вологда,Вологда,улица Мира,82,,False
100.0,496.5,"MOSKOVSKIY PR-T,49        BRYANSK     ","Россия, Брянск, Московский проспект, 49",34.421528,53.214663,Россия,Брянская область,городской округ Брянск,Брянск,Московский проспект,49,-0.1017864167925307,True
101.0,496.5,LENINGRADSKAYA 58         KHABAROVSK  ,"Россия, Хабаровск, Ленинградская улица, 58",135.072824,48.496609,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,Ленинградская улица,58,-0.0895346682408569,True
102.0,496.5,KALININA 10               BIROBIDZHAN ,"Россия, Еврейская автономная область, Биробиджан, улица Калинина, 10",132.934537,48.792911,Россия,Еврейская автономная область,городской округ Биробиджан,Биробиджан,улица Калинина,10,-0.0529402210093511,True
103.0,496.5,OKRUZHNOE SHOSSE 12       VOLOGDA     ,"Россия, Вологда, Окружное шоссе, 12",39.812741,59.202905,Россия,Вологодская область,городской округ Вологда,Вологда,Окружное шоссе,12,,False
104.0,496.5,MINAEVA 15                ULYANOVSK   ,"Россия, Ульяновск, улица Минаева, 15",48.392038,54.308204,Россия,Ульяновская область,городской округ Ульяновск,Ульяновск,улица Минаева,15,0.0080987312659693,True
105.0,496.5,"KARLA MARKSA, 30          NAZAROVO    ","Россия, Красноярский край, Назарово, улица Карла Маркса, 30",90.416323,56.013356,Россия,Красноярский край,городской округ Назарово,Назарово,улица Карла Маркса,30,,False
106.0,496.5,LEKONTA 1/1               OMSK        ,"Россия, Омск, улица Леконта, 1к1",73.386565,54.940753,Россия,Омская область,городской округ Омск,Омск,улица Леконта,1к1,-0.1450012314747548,True
107.0,496.5,SURIKOVA 8                BALAKHTA    ,"Россия, Красноярский край, посёлок городского типа Балахта, улица Сурикова, 8",91.611136,55.377572,Россия,Красноярский край,Балахтинско-Новоселовский округ,посёлок городского типа Балахта,улица Сурикова,8,-0.0705554286560662,True
108.0,496.5,PRAVOBERESHNAYA 12A       KIZIL       ,"Россия, Республика Тыва, Кызыл, Правобережная улица, 12А",94.405444,51.721106,Россия,Республика Тыва,городской округ Кызыл,Кызыл,Правобережная улица,12А,,False
109.0,496.5,KECHIL-OOLA 7B            KIZIL       ,"Россия, Республика Тыва, Кызыл, улица Кечил-Оола, 7",94.425665,51.707775,Россия,Республика Тыва,городской округ Кызыл,Кызыл,улица Кечил-Оола,7,,False
110.0,496.5,MIRA 12-1                 NAZAROVO    ,"Россия, Красноярский край, городской округ Назарово, Назарово, улица Мира, 12",90.417697,56.012345,Россия,Красноярский край,городской округ Назарово,Назарово,улица Мира,12,-0.0292467204913044,True
111.0,496.5,"EGERSKIY BVD,40           CHEBOKSARY  ","Россия, Чувашская Республика — Чувашия, Чебоксары, Эгерский бульвар, 40",47.28843,56.092245,Россия,Чувашская Республика — Чувашия,городской округ Чебоксары,Чебоксары,Эгерский бульвар,40,,False
112.0,496.5,LENINA 95A                IVANOVKA    ,"Россия, Амурская область, село Ивановка, улица Ленина, 95",127.998906,50.364162,Россия,Амурская область,Ивановский муниципальный округ,село Ивановка,улица Ленина,95,0.0401523798670273,True
113.0,496.5,LENINA 30                 ELIZOVO     ,"Россия, Камчатский край, Елизово, улица Ленина, 30",158.384079,53.192166,Россия,Камчатский край,Елизовский муниципальный округ,Елизово,улица Ленина,30,-0.0839984740775577,True
114.0,496.5,KALININGRADSKAYA 14       POLESSK     ,"Россия, Калининградская область, Полесский муниципальный округ, Полесск, Калининградская улица, 16",21.109888,54.862782,Россия,Калининградская область,Полесский муниципальный округ,Полесск,Калининградская улица,16,-0.025101401200333,True
115.0,496.5,LENINA 31                 CHADAN      ,"Россия, Республика Тыва, Дзун-Хемчикский кожуун, Чадан, улица Ленина, 31",91.56657,51.282912,Россия,Республика Тыва,городское поселение Чадан,Чадан,улица Ленина,31,0.0061397193074199,True
116.0,496.5,CHULDUM 31                KIZIL       ,"Россия, Республика Тыва, Кызыл, переулок Чульдум, 29",94.436185,51.715186,Россия,Республика Тыва,городской округ Кызыл,Кызыл,переулок Чульдум,29,,False
117.0,496.5,"SOVETSKIY SEVER, 45       KOLPASHEVO  ","Россия, Томская область, Колпашево, улица Советский Север, 45",82.894729,58.312131,Россия,Томская область,Колпашевский район,Колпашево,улица Советский Север,45,-0.0262728002435054,True
118.0,496.5,MIRA 90                   KRASNOYARSK ,"Россия, Красноярск, проспект Мира, 90",92.864367,56.011872,Россия,Красноярский край,городской округ Красноярск,Красноярск,проспект Мира,90,,False
