atm_id,atm_lat,atm_lon,nearest_offices_name,nearest_offices_dist_m,count_offices_100m,count_offices_300m,count_offices_500m,count_offices_1000m,count_payment_terminals_100m,count_payment_terminals_300m,count_payment_terminals_500m,count_payment_terminals_1000m,nearest_payment_terminals_name,nearest_payment_terminals_dist_m,count_money_transfer_100m,count_money_transfer_300m,count_money_transfer_500m,count_money_transfer_1000m,nearest_money_transfer_name,nearest_money_transfer_dist_m,nearest_shops_food_small_name,nearest_shops_food_small_dist_m,count_shops_food_small_100m,count_shops_food_small_300m,count_shops_food_small_500m,count_shops_food_small_1000m,count_hypermarkets_100m,count_hypermarkets_300m,count_hypermarkets_500m,count_hypermarkets_1000m,nearest_hypermarkets_name,nearest_hypermarkets_dist_m,count_markets_100m,count_markets_300m,count_markets_500m,count_markets_1000m,nearest_markets_name,nearest_markets_dist_m,nearest_fitness_sport_name,nearest_fitness_sport_dist_m,count_fitness_sport_100m,count_fitness_sport_300m,count_fitness_sport_500m,count_fitness_sport_1000m,nearest_hotels_hostels_name,nearest_hotels_hostels_dist_m,count_hotels_hostels_100m,count_hotels_hostels_300m,count_hotels_hostels_500m,count_hotels_hostels_1000m,count_railway_stations_100m,count_railway_stations_300m,count_railway_stations_500m,count_railway_stations_1000m,nearest_railway_stations_name,nearest_railway_stations_dist_m,count_residential_buildings_100m,count_residential_buildings_300m,count_residential_buildings_500m,count_residential_buildings_1000m,nearest_residential_buildings_name,nearest_residential_buildings_dist_m,count_residential_landuse_100m,count_residential_landuse_300m,count_residential_landuse_500m,count_residential_landuse_1000m,nearest_residential_landuse_name,nearest_residential_landuse_dist_m,nearest_fuel_name,nearest_fuel_dist_m,count_fuel_100m,count_fuel_300m,count_fuel_500m,count_fuel_1000m,count_highway_pedestrian_100m,count_highway_pedestrian_300m,count_highway_pedestrian_500m,count_highway_pedestrian_1000m,nearest_highway_pedestrian_name,nearest_highway_pedestrian_dist_m,nearest_footway_100m_name,nearest_footway_100m_dist_m,count_footway_100m_100m,count_landuse_mix_100m,count_landuse_mix_300m,count_landuse_mix_500m,count_landuse_mix_1000m,nearest_landuse_mix_name,nearest_landuse_mix_dist_m,land_use_type,land_use_dist_m,city_center_name,city_center_dist_m,is_city_center
25.0,55.319064,89.839928,,54.0,4,5,6,9,0,0,0,0,,,0,0,0,0,,,,650.7,0,0,0,1,0,0,0,0,,,0,0,0,0,,,,441.1,0,0,1,2,,672.0,0,0,0,1,0,0,0,0,,,0,0,0,0,,,0,1,2,2,,169.2,,,0,0,0,0,0,0,0,0,,,,,0,1,2,3,8,,94.6,commercial,94.6,,,0
26.0,55.751817,37.599292,"Бизнес-центр ""Альфа Арбат Центр""",13.4,6,28,112,431,0,0,0,2,,536.1,0,0,0,1,Юнистрим,717.8,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,Kultura. Fit,129.9,0,2,7,26,Boxtel,66.6,3,9,24,71,0,0,0,0,,,0,0,0,2,,803.4,0,0,0,0,,,Кремлёвская АЗС,720.0,0,0,0,1,0,0,2,30,Малый Николопесковский переулок,450.7,,23.4,5,2,2,18,78,,50.4,commercial,50.4,Москва,1150.8,1
28.0,55.78689,49.160133,Ар дом,59.7,1,3,11,79,0,1,1,2,,258.8,0,0,0,0,,,,192.9,0,3,5,26,0,0,0,0,,,0,0,0,0,,,Осьминожки,849.3,0,0,0,3,,244.8,0,1,2,4,0,0,0,0,,,0,0,0,0,,,0,3,7,23,,211.6,,,0,0,0,0,0,0,0,0,,,,45.2,9,0,5,10,35,Казанский хлебозавод №3,178.4,commercial,59.7,Казань,3170.5,0
29.0,54.740891,35.225574,ЖКХ,142.2,0,4,8,9,0,0,0,0,,,0,0,0,0,,,,3.4,1,4,8,17,0,0,0,0,,,0,0,0,0,,,"ФОК ""Олимп""",571.4,0,0,0,1,Айсберг Угры,447.8,0,0,1,1,0,0,0,0,,,0,0,0,0,,,1,9,23,77,,59.6,,,0,0,0,0,1,1,1,1,улица К. Маркса,88.1,,29.6,12,1,10,31,95,,59.6,residential,59.6,,,0
30.0,68.81876,32.690403,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,1,1,,302.1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,1,1,1,,175.5,,,0,0,1,2,2,"ГОУСП""Тулома""",214.2,commercial,214.2,,,0
31.0,54.004162,86.706325,Билайн,141.0,0,1,1,1,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,commercial,141.0,Прокопьевск,13241.9,0
32.0,51.809608,107.646189,ПЭК. Первая Экспедиционная Компания,409.8,0,0,2,4,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,Региональный центр по стрельбе из лука (Крытый лукодром),952.6,0,0,0,2,,,0,0,0,0,0,0,0,0,,,5,14,24,36,,20.9,1,1,3,14,,59.5,,,0,0,0,0,0,0,0,0,,,,36.3,1,1,1,4,18,,59.5,residential,20.9,Улан-Удэ,5188.6,0
34.0,55.836378,49.103953,,107.5,0,12,26,61,0,0,0,0,,,0,0,0,0,,,Йола-маркет,97.2,1,3,10,25,0,0,0,0,,,1,1,1,1,Анже,66.4,Ватан,339.1,0,0,3,6,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Irbis,240.8,0,2,2,3,0,0,0,0,,,,18.7,7,0,0,0,0,,,commercial,107.5,Казань,4670.1,0
36.0,53.5193,49.416468,,1.7,2,3,8,37,0,0,0,1,,902.9,0,0,0,0,,,Фасоль,173.6,0,1,4,17,0,0,0,0,,,0,0,1,2,Центральный рынок,427.7,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,6,15,,284.4,Татнефть,908.2,0,0,0,2,0,0,0,0,,,,47.2,8,0,1,7,17,,284.4,residential,284.4,,,0
37.0,69.343544,88.211228,Норникель Управление комбината,25.1,2,14,19,49,0,0,0,0,,,0,0,0,0,,,,127.0,0,5,13,47,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,Гостиничный комплекс Полярная звезда,259.5,0,1,1,2,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,1074.2,Арктур,633.7,0,0,0,1,0,0,0,0,,,,40.1,9,0,0,0,3,,799.9,industrial,799.9,Норильск,842.4,1
39.0,69.350498,87.755207,МТС,13.4,1,4,4,5,0,0,0,0,,,0,0,0,0,,,777,202.2,0,3,8,11,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,1,Кайеркан,719.2,0,0,0,0,,,1,1,1,1,,46.1,Арктур,582.2,0,0,0,2,0,0,0,0,,,,,0,1,3,4,5,,46.1,residential,46.1,Норильск,14307.9,0
40.0,69.356575,88.205551,РОСНО-МС,188.8,0,3,8,45,0,0,0,0,,,0,0,0,0,,,Домовёнок,133.0,0,6,15,45,0,0,0,0,,,0,0,0,0,Промплощадка Урванцева,1025.2,Sport avenu,278.2,0,1,2,3,Гостиница Норильск,630.2,0,0,0,1,0,0,0,0,,,0,0,0,0,,,0,0,0,1,,537.0,,,0,0,0,0,0,0,0,1,Театральная площадь,563.1,,77.3,2,0,0,0,0,,,industrial,262.5,Норильск,726.4,1
41.0,51.705247,94.40575,Межрайонная ИФНС №1 по Республике Тыва,181.2,0,3,4,4,0,0,0,0,,,0,0,0,0,,,,453.1,0,0,1,2,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,1,,597.5,0,2,12,46,,230.3,,,0,0,0,0,0,0,0,0,,,,55.9,3,0,2,12,49,,230.3,commercial,181.2,Кызыл,2278.9,0
43.0,59.241084,39.836097,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,513.2,0,0,0,6,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,2,,570.5,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,1,3,17,,284.9,residential,284.9,Вологда,2868.9,0
44.0,46.307693,44.272804,ЦССИ ФСО,70.4,4,24,44,78,0,1,1,1,Элекснет,235.4,0,2,2,2,Золотая корона,224.4,Вкусно,115.3,0,3,4,11,0,0,0,0,,,0,0,0,3,Центральный казачий рынок,621.6,Спортивный зал,333.9,0,0,2,4,Белый лотос,597.0,0,0,0,5,0,0,0,0,,,0,0,5,22,,326.6,0,0,0,0,,,,,0,0,0,0,0,1,1,4,улица А. С. Пушкина,189.7,,,0,1,1,5,63,,86.7,industrial,86.7,,,0
45.0,46.32687,48.039754,Билайн,62.8,1,1,3,12,0,0,0,0,,,0,0,0,0,,,,183.8,0,3,5,10,0,0,0,0,,,0,0,1,2,,343.6,Студия йоги Елены Заярновой,189.6,0,1,3,5,,,0,0,0,0,0,0,0,1,Кутум,902.0,0,0,0,0,,,0,0,3,15,,370.4,Лукойл,911.1,0,0,0,1,0,0,0,0,,,,,0,0,0,4,22,,370.4,commercial,62.8,Астрахань,2610.7,0
48.0,45.071529,39.004418,Билайн,33.6,2,8,16,36,0,0,0,1,,999.0,0,0,0,0,,,Бристоль,307.1,0,0,2,17,0,0,0,0,,,0,0,0,1,Gастромикс,886.5,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,1,3,10,,295.6,0,1,5,24,,256.5,,,0,0,0,0,0,0,0,0,,,,48.0,15,0,1,5,32,,256.5,residential,256.5,,,0
50.0,59.128145,37.91549,,,0,0,0,0,0,0,0,0,,,0,0,0,1,Юнистрим,526.2,Восточный Экспресс,156.9,0,1,8,27,0,0,0,0,,,0,1,1,3,,184.4,Бассейн,612.3,0,0,0,6,,,0,0,0,0,0,0,0,0,,,0,0,0,11,,633.3,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,26.4,14,0,0,0,1,"ЖК ""Парк Горького""",863.2,commercial,82.4,,,0
52.0,56.49455,84.948646,Жилфонд,53.7,3,15,29,58,0,0,0,0,,,0,0,0,0,,,Магнит,137.7,0,1,2,6,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,Дрезден,256.0,0,1,4,11,0,0,0,0,,,0,7,11,18,,163.3,0,0,0,0,,,,,0,0,0,0,0,0,1,36,набережная реки Томи,467.5,,13.3,11,2,9,24,73,,59.3,commercial,59.3,,,0
53.0,53.056274,158.636344,Билайн,33.6,2,8,17,28,0,0,0,0,,,0,0,0,0,,,Белорусский фермер,238.1,0,2,12,22,0,0,0,0,,,1,1,1,2,Продовольственный рынок,3.8,Спортивный комплекс на Автомобилистов,914.1,0,0,0,2,,,0,0,0,0,0,0,0,0,,,0,0,0,7,,556.1,0,1,3,8,,267.2,ТСК,910.1,0,0,0,2,0,1,2,2,"""Городской фонтан""",111.1,,40.6,2,1,2,4,17,Рынок,91.3,commercial,91.3,,,0
54.0,66.674855,34.338838,МТС,100.6,0,3,5,6,0,0,0,0,,,0,0,0,0,,,,100.5,0,2,3,3,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,Гостиница МУП ЖКХ,397.7,0,0,1,3,0,0,0,0,,,0,0,0,0,,,0,1,1,2,,202.3,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,commercial,100.6,,,0
55.0,67.153019,32.414952,Билайн,15.9,3,6,10,12,0,0,0,0,,,0,0,0,0,,,Смак,88.5,1,4,7,12,0,0,0,0,,,0,1,1,1,Даниловский рынок,244.0,Бассейн,593.5,0,0,0,2,Беломорье,311.7,0,0,4,5,0,0,0,1,Кандалакша,791.9,0,0,0,0,,,0,2,6,13,,248.0,Газпромнефть,610.4,0,0,0,2,0,5,5,19,,143.8,,102.0,0,0,3,7,17,,248.0,residential,248.0,,,0
57.0,55.090402,90.851772,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,,,,,0
59.0,44.576938,132.826623,Билайн,213.2,0,1,1,1,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,commercial,213.2,,,0
61.0,61.069724,42.112428,,,0,0,0,0,0,1,1,2,Московский индустриальный банк,281.6,0,0,0,0,,,,222.2,0,3,6,15,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,1,3,,420.0,Велком,625.5,0,0,0,2,0,1,1,3,Базарная площадь,253.1,,44.1,1,1,2,4,10,,46.9,industrial,46.9,,,0
62.0,52.038854,39.736662,МТС,562.6,0,0,0,4,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,11,18,51,,120.7,,878.2,0,0,0,1,0,0,0,0,,,,,0,0,11,18,51,,120.7,,,Воронеж,47277.2,0
64.0,62.045845,129.740982,МирКадастра,175.6,0,2,2,10,0,0,0,0,,,0,0,0,0,,,,184.6,0,1,1,4,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,786.3,0,0,0,2,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,856.1,0,0,0,2,0,0,0,0,,1051.6,,104.0,0,0,0,0,0,,,commercial,500.5,,,0
65.0,51.716977,94.439535,МТС,156.0,0,8,15,22,0,0,0,0,,,0,0,0,0,,,Фасоль,145.1,0,1,3,6,0,0,0,0,,,0,2,2,2,Вещевой рынок,214.8,,898.4,0,0,0,1,Кызыл,435.7,0,0,1,4,0,0,0,0,,,0,0,1,12,,499.3,0,0,0,0,,,,,0,0,0,0,0,1,3,27,улица Тувинских Добровольцев,202.4,,59.4,9,0,0,0,0,,,commercial,156.0,Кызыл,694.8,1
66.0,54.66891,20.510281,МТС,18.6,1,1,1,3,0,0,0,0,,,0,0,0,0,,,,175.7,0,3,4,13,0,0,0,0,,,0,0,0,1,Южный,544.3,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,1,,648.7,0,1,2,16,,256.2,,,0,0,0,0,0,0,0,0,,,,,0,0,3,5,24,,256.2,commercial,18.6,Калининград,4588.3,0
67.0,52.749153,32.237616,Билайн,307.0,0,0,4,10,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,Уют,177.7,0,1,1,2,0,0,0,0,,,0,0,0,0,,,0,8,19,50,,122.7,,,0,0,0,0,0,0,1,9,площадь 50-летия Октября,463.8,,209.1,0,0,9,21,59,,122.7,residential,122.7,,,0
68.0,47.894757,40.057037,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,ГАСТРОНОМ,87.2,1,2,5,9,0,0,0,0,,,0,0,1,1,Центральный рынок,392.0,,928.4,0,0,0,1,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,1,1,,446.1,Газпромнефть,479.5,0,0,1,1,0,0,0,0,,,площадь Ленина,153.8,0,0,0,0,0,,,commercial,392.0,Новошахтинск,15614.4,0
69.0,46.171941,45.352265,,827.5,0,0,0,1,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,1,7,34,,153.4,,,0,0,0,0,0,0,0,0,,,,,0,0,3,9,36,,153.4,residential,153.4,,,0
70.0,55.757085,37.661356,,,0,0,0,0,0,0,0,4,,714.3,0,0,0,0,,,,7.4,2,8,15,28,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,Nice Hostel Kurskaya,408.0,0,0,4,30,0,4,4,4,Москва-Пассажирская-Курская,111.5,0,0,0,0,,,0,0,5,27,,341.3,Татнефть,228.4,0,1,1,7,0,0,0,0,,,,,0,0,2,16,72,,153.5,commercial,153.5,Москва,2849.7,0
71.0,56.467394,53.806992,СДЭК,48.4,1,1,2,27,0,0,0,0,,,0,0,0,0,,,Баско,187.8,0,1,3,10,0,0,0,0,,,0,0,0,0,,,Антигравити,659.9,0,0,0,1,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Башнефть,119.9,0,1,1,2,0,0,0,0,,,,18.0,5,3,21,47,161,,19.3,commercial,19.3,Сарапул,1357.5,1
72.0,56.022353,39.979908,"ООО ""УК Плазма""",121.3,0,1,3,3,0,0,0,0,,,0,0,0,0,,,,394.6,0,0,1,3,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,1,1,Ундол,312.3,0,0,0,8,,553.4,0,1,4,12,,291.1,,,0,0,0,0,0,0,0,0,,,,73.6,1,0,1,4,19,,291.1,commercial,121.3,Владимир,29150.4,0
73.0,51.649913,94.268559,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,267.4,0,1,2,3,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,2,36,123,328,,27.9,0,0,0,1,Сукпак,849.9,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,,,residential,27.9,Кызыл,13564.2,0
75.0,45.377907,38.438668,МТС,521.4,0,0,0,1,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,1,1,Рынок,406.8,Олимп,252.8,0,1,1,1,,,0,0,0,0,0,0,0,0,,,0,0,0,14,,658.4,0,0,0,0,,,RUSOIL,808.1,0,0,0,1,1,2,2,2,Советская улица,41.8,,81.8,1,0,0,0,0,,,,,Краснодар,55134.9,0
76.0,59.201062,39.829386,,156.9,0,1,1,5,0,0,0,0,,,0,0,0,0,,,Продуктовый магазин,139.4,0,2,2,7,0,0,0,0,,,0,0,0,0,,,GYM FIT,373.1,0,0,1,1,Апартаменты «На Ленинградской 115»,420.6,0,0,1,3,0,0,0,0,,,0,1,2,3,,268.4,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,0,0,1,4,25,,252.5,residential,252.5,Вологда,4010.5,0
77.0,52.534543,31.94119,Газета «Н-Вести»,178.8,0,2,7,38,0,0,0,0,,,0,0,0,0,,,Гурман,337.2,0,0,2,7,0,0,0,0,,,0,0,0,0,,,Малый зал НППК,491.2,0,0,1,5,Общежитие медколледжа,381.5,0,0,2,8,0,0,0,0,,,0,0,14,45,,301.6,0,4,7,19,,143.1,Люкс-Ойл,992.7,0,0,0,1,0,0,0,3,площадь Октябрьской Революции,588.4,,32.4,1,0,4,7,31,,143.1,residential,143.1,,,0
